FREQ,Frequency,INSTRUMENT_TYPE,Instrument Type,TENOR,Tenor,UNIT_MEASURE,Unit of Measure,DECIMALS,COLLECTION,Collection Indicator,TIME_PERIOD,OBS_VALUE,CALC_METHOD,Calculation Method
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2003-01,5.98,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2003-02,5.68,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2003-03,5.3,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2003-04,5.13,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2003-05,4.81,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2003-06,3.98,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2003-07,3.37,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2003-08,3.05,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2003-09,2.68,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2003-10,2.66,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2003-11,2.7,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2003-12,2.44,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2004-01,2.13,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2004-02,2.01,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2004-03,1.75,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2004-04,1.77,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2004-05,1.76,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2004-06,1.78,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2004-07,1.87,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2004-08,1.84,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2004-09,1.76,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2004-10,1.83,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2004-11,1.81,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2004-12,1.78,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2005-01,1.78,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2005-02,1.78,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2005-03,1.79,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2005-04,1.83,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2005-05,1.88,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2005-06,1.89,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2005-07,2.03,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2005-08,2.09,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2005-09,2.14,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2005-10,2.19,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2005-11,2.35,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2005-12,2.33,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2006-01,2.32,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2006-02,2.4,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2006-03,2.54,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2006-04,2.66,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2006-05,2.81,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2006-06,2.91,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2006-07,2.98,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2006-08,3.12,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2006-09,3.26,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2006-10,3.38,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2006-11,3.52,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2006-12,3.63,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2007-01,3.75,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2007-02,4.02,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2007-03,4.23,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2007-04,4.35,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2007-05,4.41,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2007-06,4.54,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2007-07,4.62,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2007-08,4.73,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2007-09,4.8,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2007-10,5.04,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2007-11,5.13,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2007-12,5.05,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2008-01,5.15,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2008-02,5.33,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2008-03,5.23,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2008-04,5.38,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2008-05,5.76,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2008-06,5.78,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2008-07,5.97,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2008-08,5.96,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2008-09,5.64,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2008-10,4.38,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2008-11,4.75,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2008-12,3.5,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2009-01,2.66,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2009-02,2.4,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2009-03,2.07,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2009-04,1.92,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2009-05,1.54,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2009-06,1.54,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2009-07,1.42,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2009-08,1.47,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2009-09,1.52,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2009-10,1.73,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2009-11,1.79,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2009-12,1.84,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2010-01,2.04,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2010-02,2.05,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2010-03,2.03,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2010-04,2.15,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2010-05,2.22,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2010-06,2.26,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2010-07,2.19,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2010-08,2.24,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2010-09,2.27,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2010-10,2.21,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2010-11,2.14,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2010-12,2.2,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2011-01,2.23,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2011-02,2.23,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2011-03,2.26,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2011-04,2.33,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2011-05,2.37,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2011-06,2.3,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2011-07,2.37,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2011-08,2.04,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2011-09,2.11,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2011-10,2,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2011-11,1.96,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2011-12,1.44,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2012-01,1.52,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2012-02,1.71,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2012-03,1.58,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2012-04,1.54,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2012-05,1.56,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2012-06,1.49,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2012-07,1.43,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2012-08,1.48,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2012-09,1.56,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2012-10,1.64,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2012-11,1.56,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2012-12,1.5,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2013-01,1.58,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2013-02,1.62,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2013-03,1.59,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2013-04,1.62,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2013-05,1.48,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2013-06,1.44,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2013-07,1.47,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2013-08,1.52,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2013-09,1.51,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2013-10,1.55,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2013-11,1.46,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2013-12,1.38,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-01,1.37,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-02,1.4,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-03,1.29,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-04,1.31,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-05,1.33,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-06,1.14,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-07,1.19,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-08,1.2,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-09,1.11,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-10,1.27,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-11,1.27,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-12,1.04,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-01,1.04,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-02,0.92,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-03,0.83,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-04,0.99,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-05,0.95,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-06,0.86,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-07,0.89,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-08,0.83,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-09,0.65,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-10,0.67,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-11,0.64,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-12,0.57,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-01,0.65,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-02,0.65,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-03,0.46,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-04,0.5,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-05,0.53,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-06,0.56,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-07,0.52,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-08,0.49,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-09,0.49,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-10,0.48,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-11,0.53,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2016-12,0.54,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-01,0.52,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-02,0.5,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-03,0.43,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-04,0.45,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-05,0.45,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-06,0.37,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-07,0.36,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-08,0.36,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-09,0.36,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-10,0.38,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-11,0.37,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2017-12,0.26,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-01,0.4,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-02,0.43,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-03,0.45,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-04,0.55,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-05,0.64,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-06,0.66,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-07,0.59,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-08,0.61,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-09,0.68,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-10,0.75,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-11,0.78,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2018-12,0.7,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-01,0.88,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-02,0.98,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-03,1.06,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-04,1.11,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-05,1.15,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-06,1.09,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-07,1.23,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-08,1.25,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-09,1.28,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-10,1.3,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-11,1.28,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2019-12,1.14,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-01,1.26,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-02,1.41,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-03,0.55,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-04,0.15,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-05,0.03,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-06,0.03,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-07,0.03,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-08,0.03,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-09,-0.04,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-10,-0.01,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-11,0.04,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-12,0.02,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2021-01,0.07,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2021-02,0.14,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2021-03,0.16,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2021-04,0.15,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2021-05,0.09,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2021-06,0,,
